Employee ID,Phone number,Job start date,Position title,Workplace amenities,Remote work hours per week,Uniform color
F094,5141461811,2026-03-08,Software Engineer,"Furniture,Floor lamp,Fan,Private office",8,white
L641,4383833093,2025-12-12,Product Manager,"Floor lamp,Fan,Furniture",37,white
U616,5147113106,2030-02-01,Sales Manager,"A/C,Floor lamp,Laptop",13,red
C098,4383249652,2027-02-06,Data Scientist,"A/C,Private office,Furniture,Fan",5,green
A339,Phone number 1: 5144542530 - Phone number 2: 5142072562 - Phone number 3: 5143484936,2034-09-29,JUNIOR Sales Manager,Laptop,1,blue
H484,5148157019,2026-09-02,Product Manager,"A/C,Furniture",40,blue
G322,4382669631,2026-11-13,Data Scientist,"Furniture,Fan",24,black
J517,5145669979,2034-07-31,Product Manager,"Furniture,Fan,Floor lamp",18,blue
G954,Phone number 1: 4382299791 - Phone number 2: 4388703938 - Phone number 3: 4380752408,2030-12-16,JUNIOR Software Engineer,"Furniture,Laptop",23,blue
L417,5144948347,2025-12-19,Product Manager,"A/C,",12,blue
K715,5146542185,In three years,Sales Manager,Laptop,32,white
A995,5149558109,In one years,Sales Manager,Floor lamp,29,red
F619,Phone number 1: 5144950249 - Phone number 2: 4389873526 - Phone number 3: 4380469059,2032-03-04,JUNIOR Sales Manager,"Fan,Private office,Floor lamp,Laptop,Furniture",40,green
G377,5143924607,In one years,Software Engineer,"Furniture,Private office,Floor lamp,Laptop,Fan",37,white
Y945,4389505591,2025-09-22,Data Scientist,"Floor lamp,Fan,Furniture,Laptop,Private office",31,blue
I300,Phone number 1: 5147905602 - Phone number 2: 4389011198 - Phone number 3: 5149851300,2029-09-13,JUNIOR Data Scientist,Floor lamp,16,white
C878,4382917717,2032-01-21,Data Scientist,"Fan,Private office",30,white
O900,4387761589,2032-11-07,Product Manager,"Private office,Floor lamp,Laptop",36,green
M044,4380888085,2033-12-29,Product Manager,"Floor lamp,Private office",9,white
L763,4382086458,2033-10-05,Data Scientist,"A/C,Fan,Laptop,Floor lamp",30,black
F495,5146513007,04/12/2026,Sales Manager,"Fan,Private office,Floor lamp",19,red
A423,4384004656,2032-08-13,Data Scientist,"Furniture,Laptop,Private office",1,black
Q150,Phone number 1: 5142998831 - Phone number 2: 4388826148 - Phone number 3: 5146371157,2032-04-30,JUNIOR Designer,Furniture,39,blue
D050,5149706672,2028-02-11,Product Manager,Fan,16,green
P381,4381624155,2028-08-22,Data Scientist,"Laptop,Private office,Furniture",35,blue
O151,5140579222,12/29/2034,Sales Manager,"Laptop,Fan,Furniture,Floor lamp,Private office",20,black
