Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
G270,rwpckl@yahoo.com,Meat,No,SE4AI,4,2035-04-18,4
N485,a4ogw8bo6a@example.com,Meat,No,MDE,5,2035-05-19,5
R993,8a3qujen1y@example.com,Meat,No,Software Testing,5,August 2026,4
E978,6vm4n2ql@outlook.com,Pasta (veg),No,SE4AI,4,2026-05-22,1
G172,xqxxpyl0@gmail.com,Fish,No,Software Testing,2,2034-12-26,3
Q841,g1ydv@hotmail.com,Meat - Halal,No,AI4SE,2,2028-03-17,2
K246,78qtoyl1nh@yahoo.com,Meat,No,AI4SE,2,May 2025,4
G813,c5wxa32@hotmail.com,Fish,No,Software Testing,3,13/09/2026,3
V347,viqyqv@example.com,Fish,No,Empirical SE,1,13/07/2032,5
H673,n7yq2uygk6@hotmail.com,Meat,No,MDE,100%,2032-05-29,5
I489,f4ji67m@example.com,Fish,No,SE4AI,4,2029-11-23,1
F752,6sd1yo@yahoo.com,Meat,No,Software Testing,80%,2025-08-06,0
V398,lt76y3@gmail.com,Pasta (veg),No,AI4SE,1,2026-08-25,4
B965,d8ch6@gmail.com,Fish,No,Empirical SE,5,2031-04-22,1
O907,nbldv@hotmail.com,Fish,No,AI4SE,40%,2026-12-23,0
Z353,yqxmn@example.com,Fish - (only if NOT Salmon or Cod),No,Software Testing,3,2035-02-22,1
P317,prf942l2@yahoo.com,Fish,No,SE4AI,2,2026-06-16,5
R025,m2gnbm@yahoo.com,Fish - (only if wild-caught; cannot eat farmed fish temporarily),No,Software Testing,3,2030-01-04,2
X051,0arqvqt@gmail.com,Pasta (veg),No,MDE,100%,2035-08-26,4
O410,jvghbzm@gmail.com,Fish,No,Empirical SE,5,2030-07-13,0
M822,96wn0@gmail.com,Pasta (veg),No,SE4AI,4,December 2025,2
K960,9qv9c96pf@hotmail.com,Meat,No,SE4AI,4,2035-01-16,2
G316,f7eibt6a@hotmail.com,Meat,No,AI4SE,1,2034-11-13,3
U397,z53bn5i24@gmail.com,Pasta (veg),No,MDE,100%,2031-05-20,5
S497,ejlymy@gmail.com,Fish - (only if NOT Salmon or Cod),No,Empirical SE,3,2029-08-15,2
P946,t8w066td@yahoo.com,Fish - (only if NOT Salmon or Cod),No,MDE,5,2030-11-09,4
